Date,Open,High,Low,Close,Adj Close,Volume
2017-09-11,NaN,NaN,NaN,NaN,NaN,NaN
2017-09-12,2.920000,2.955000,2.911000,2.940000,2.874195,9268985
2017-09-13,2.934000,2.949000,2.920000,2.920000,2.854643,4061917
2017-09-14,2.920000,2.920000,2.884000,2.896000,2.831180,3033558
2017-09-15,2.890000,2.905000,2.864000,2.873000,2.808695,4302919
2017-09-18,2.895000,2.913000,2.880000,2.882000,2.817493,3398400
2017-09-19,2.884000,2.900000,2.875000,2.881000,2.816516,4565837
2017-09-20,2.869000,2.885000,2.839000,2.847000,2.783277,4713450
2017-09-21,2.860000,2.885000,2.819000,2.819000,2.755903,3695702
2017-09-22,2.817000,2.851000,2.807000,2.843000,2.779366,2717676
2017-09-25,2.826000,2.840000,2.753000,2.753000,2.691381,5355662
2017-09-26,2.750000,2.750000,2.675000,2.682000,2.621970,7806618
2017-09-27,2.714000,2.827000,2.711000,2.821000,2.757859,6723151
2017-09-28,2.770000,2.770000,2.727000,2.736000,2.674761,8923763
2017-09-29,2.745000,2.764000,2.726000,2.754000,2.692358,6387406
2017-10-02,2.730000,2.740000,2.703000,2.722000,2.661075,4643109
2017-10-03,2.715000,2.729000,2.675000,2.691000,2.630769,4758884
2017-10-04,2.690000,2.691000,2.647000,2.677000,2.617082,8973351
2017-10-05,2.680000,2.755000,2.667000,2.751000,2.689425,6400916
2017-10-06,2.760000,2.765000,2.727000,2.765000,2.703112,4067558
2017-10-09,2.768000,2.795000,2.726000,2.740000,2.678672,7185017
2017-10-10,2.726000,2.747000,2.709000,2.747000,2.685515,4597183
2017-10-11,2.779000,2.790000,2.730000,2.730000,2.668896,10659008
2017-10-12,2.733000,2.737000,2.670000,2.670000,2.610239,7180544
2017-10-13,2.667000,2.692000,2.641000,2.641000,2.581888,5466834
2017-10-16,2.650000,2.651000,2.624000,2.645000,2.585798,3979839
2017-10-17,2.644000,2.669000,2.623000,2.627000,2.568201,5876657
2017-10-18,2.621000,2.665000,2.621000,2.655000,2.595574,9362590
2017-10-19,2.650000,2.689000,2.650000,2.664000,2.604373,5398125
2017-10-20,2.663000,2.698000,2.660000,2.690000,2.629791,4133995
2017-10-23,2.679000,2.691000,2.652000,2.652000,2.592641,4111640
2017-10-24,2.651000,2.733000,2.650000,2.710000,2.649343,9187983
2017-10-25,2.698000,2.702000,2.661000,2.662000,2.602417,5937893
2017-10-26,2.660000,2.828000,2.640000,2.753000,2.691381,12342104
2017-10-27,2.763000,2.770000,2.670000,2.685000,2.624903,6707093
2017-10-30,2.736000,2.825000,2.728000,2.774000,2.711911,9186194
2017-10-31,2.800000,2.846000,2.747000,2.809000,2.746127,8026760
2017-11-01,2.826000,2.850000,2.812000,2.812000,2.749060,6927896
2017-11-02,2.810000,2.829000,2.801000,2.808000,2.745150,4655587
2017-11-03,2.808000,2.808000,2.731000,2.738000,2.676717,4951550
2017-11-06,2.745000,2.760000,2.709000,2.723000,2.662052,4697676
2017-11-07,2.736000,2.760000,2.690000,2.697000,2.636634,5748681
2017-11-08,2.702000,2.702000,2.658000,2.681000,2.620992,9532581
2017-11-09,2.682000,2.753000,2.682000,2.732000,2.670851,9547036
2017-11-10,2.731000,2.744000,2.706000,2.722000,2.661075,7785098
2017-11-13,2.725000,2.725000,2.690000,2.705000,2.644455,5754627
2017-11-14,2.709000,2.722000,2.673000,2.706000,2.645433,5816646
2017-11-15,2.688000,2.740000,2.662000,2.735000,2.673784,5689073
2017-11-16,2.753000,2.776000,2.724000,2.762000,2.700180,6480825
2017-11-17,2.770000,2.786000,2.751000,2.757000,2.695291,7489483
2017-11-20,2.750000,2.764000,2.729000,2.756000,2.694314,4606055
2017-11-21,2.757000,2.770000,2.726000,2.726000,2.664985,4548690
2017-11-22,2.734000,2.769000,2.732000,2.738000,2.676717,4204320
2017-11-23,2.734000,2.736000,2.704000,2.726000,2.664985,3317722
2017-11-24,2.721000,2.757000,2.694000,2.754000,2.692358,5770871
2017-11-27,2.755000,2.838000,2.755000,2.813000,2.750038,6907772
2017-11-28,2.818000,2.831000,2.793000,2.818000,2.754926,5977299
2017-11-29,2.841000,2.875000,2.824000,2.856000,2.792075,13104325
2017-11-30,2.867000,2.868000,2.816000,2.826000,2.762747,8508214
